fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality_score
6.48,0.383,0.38,0.49,0.0915,9.8,5.8,0.996,3.43,0.7,10.6,white,8.4
6.86,0.677,0.09,2.49,0.1128,27.4,113.3,0.99726,3.51,0.56,14.1,red,9.0
9.58,0.47,0.41,5.42,0.1093,16.8,83.5,0.99286,3.05,0.6,11.9,red,8.2
8.42,0.659,0.37,2.5,0.0972,10.8,38.6,0.99447,3.21,0.66,11.2,red,7.6
9.78,0.464,0.17,2.73,0.0509,25.1,63.7,0.9979,3.48,0.47,10.1,red,9.0
10.0,0.594,0.42,0.27,0.175,11.8,15.2,0.99673,3.18,0.81,10.0,red,7.9
7.07,0.437,0.24,2.73,0.0854,4.5,68.3,1.00001,3.43,0.87,9.9,red,8.5
8.35,0.441,0.23,1.51,0.112,17.1,55.1,0.99818,3.4,0.95,13.8,red,8.1
8.28,0.248,0.22,2.63,0.0989,15.3,23.3,0.99507,3.43,0.6,14.8,red,8.7
7.74,0.622,0.19,0.99,0.0122,7.7,35.9,0.99844,3.43,0.89,11.9,red,9.0
7.39,0.597,0.17,2.18,0.038,9.9,33.6,1.00042,3.25,0.9,8.9,red,9.0
10.31,0.607,0.41,1.38,0.0924,11.6,74.5,0.99686,3.27,0.55,13.3,red,8.7
8.39,0.58,0.27,2.04,0.0471,1.2,43.8,0.99781,3.26,0.49,14.1,red,9.0
8.32,0.393,0.03,0.4,0.1059,1.9,5.4,0.99865,3.34,0.84,14.5,red,9.0
6.94,0.704,0.45,1.26,0.0442,25.7,31.7,0.99667,2.99,0.57,12.5,red,9.0
9.45,0.709,0.21,1.17,0.0878,1.0,20.8,0.99277,3.38,0.54,11.7,red,9.0
6.59,0.388,0.04,3.33,0.0067,15.7,2.1,0.99811,3.57,0.8,12.4,red,9.0
9.07,0.626,0.69,3.06,0.1263,3.7,21.5,0.9986,3.34,0.42,8.5,white,7.2
9.12,0.687,0.07,5.99,0.1082,31.7,24.5,0.99993,3.29,0.58,12.7,red,8.6
7.6,0.445,0.44,2.5,0.1104,13.1,15.9,0.9948,3.32,0.34,13.0,red,9.0
8.84,0.477,0.12,0.94,0.0827,27.6,53.0,0.99489,3.39,0.52,13.1,red,8.3
8.62,0.626,0.3,3.82,0.0542,38.1,61.4,0.99562,3.48,0.55,12.1,red,9.0
8.23,0.258,0.1,1.72,0.1612,2.4,63.1,0.99666,3.3,0.53,13.0,white,9.0
8.32,0.334,0.03,0.54,0.1653,8.8,78.0,0.99808,3.28,0.59,12.6,red,9.0
8.41,0.352,0.37,3.44,0.0836,25.1,85.6,0.99476,3.1,0.31,9.2,red,8.5
8.52,0.207,0.35,0.36,0.0601,9.3,12.8,0.9989,3.32,0.49,14.2,red,8.9
8.4,0.725,0.49,0.49,0.0058,18.9,1.2,0.9988,3.13,0.89,12.4,red,7.7
6.42,0.172,0.26,3.55,0.0976,17.0,47.9,0.99885,3.23,0.71,13.1,red,9.0
8.04,0.592,0.69,3.68,0.0556,8.7,64.5,0.99638,3.44,0.57,10.6,red,9.0
8.75,0.676,0.32,3.91,0.0645,25.8,19.0,0.99253,3.46,0.55,14.4,red,8.7
8.47,0.477,0.38,0.87,0.1323,14.5,55.2,1.0002,3.38,0.79,11.7,red,8.8
9.92,0.41,0.01,5.04,0.0418,3.4,106.5,0.99581,3.49,0.67,12.8,white,9.0
9.35,0.572,0.15,3.21,0.1772,32.1,2.5,0.99844,3.06,0.47,14.6,red,9.0
6.82,0.53,0.37,4.49,0.0392,8.5,46.7,0.99724,3.55,0.57,14.4,white,9.0
8.02,0.711,0.25,3.08,0.0092,7.9,80.7,0.99926,3.18,0.45,12.6,red,9.0
7.77,0.057,0.31,2.17,0.0561,3.0,40.0,0.9969,3.36,0.54,9.5,white,9.0
8.29,0.365,0.11,0.29,0.1038,22.1,60.1,0.99714,3.21,0.78,14.6,red,9.0
8.29,0.631,0.29,3.1,0.0934,16.3,76.4,0.99736,3.36,0.76,14.8,red,9.0
9.34,0.539,0.29,2.93,0.0956,2.4,36.6,0.99784,3.31,0.83,9.1,red,8.9
8.6,0.665,0.05,0.94,0.074,18.5,11.6,0.99453,3.48,0.68,11.3,red,8.6
10.39,0.577,0.39,3.33,0.0634,24.6,43.2,1.00075,3.68,0.4,12.0,red,8.4
8.71,0.506,0.05,2.0,0.0287,20.8,10.5,0.99686,3.44,0.45,9.0,red,7.6
6.89,0.476,0.31,2.05,0.0931,29.8,28.4,0.99815,3.29,0.74,9.6,red,8.0
7.51,0.949,0.61,1.15,0.1367,9.6,61.0,1.00003,3.54,0.68,11.9,white,9.0
9.33,0.806,0.4,0.31,0.0877,34.5,52.5,0.99698,3.06,0.46,14.7,white,9.0
5.56,0.619,0.4,0.61,0.0512,15.9,79.3,0.99501,3.22,0.6,8.6,red,8.0
6.01,0.544,0.1,3.66,0.0939,24.3,54.1,0.99494,3.28,0.98,14.3,red,9.0
8.32,0.627,0.61,0.79,0.1558,29.3,20.8,0.9961,3.27,0.82,14.2,red,9.0
9.92,0.679,0.53,0.01,0.0774,43.7,13.7,0.99767,3.2,0.91,14.0,red,9.0
10.52,0.605,0.11,14.54,0.0289,4.5,67.2,0.99788,3.41,0.46,10.9,red,8.3
7.93,0.395,0.18,0.59,0.0973,8.1,54.4,0.99926,3.31,0.94,11.6,red,8.0
10.1,0.851,0.51,2.66,0.1147,17.9,40.2,0.99393,3.29,0.57,11.0,red,8.1
8.42,0.574,0.61,6.54,0.1278,12.0,57.6,0.99744,3.52,0.93,14.6,white,9.0
5.7,0.893,0.03,2.29,0.1198,7.5,23.3,0.99823,3.24,0.72,11.8,red,8.1
8.29,0.564,0.08,4.01,0.0948,0.1,34.0,0.99816,3.46,0.77,8.9,white,8.9
7.25,0.486,0.24,9.36,0.0478,17.2,80.8,0.99217,3.27,0.78,10.2,red,9.0
9.86,0.779,0.14,4.92,0.0408,24.3,67.8,0.99626,3.27,0.68,11.4,red,8.9
8.26,0.584,0.27,2.04,0.0711,19.6,43.6,0.99863,3.2,0.76,14.6,red,9.0
6.13,0.554,0.5,1.13,0.1159,1.2,16.9,0.99538,3.09,0.49,12.1,red,8.1
5.75,0.314,0.0,1.65,0.0564,1.0,39.5,0.99463,3.21,0.64,12.9,red,9.0
8.26,0.649,0.29,4.61,0.0639,16.5,10.4,0.99813,3.04,0.79,9.0,red,7.1
4.19,0.441,0.16,4.8,0.0454,13.4,50.3,0.9976,3.35,0.68,14.1,red,9.0
7.42,0.449,0.58,4.67,0.1604,12.6,17.2,0.99746,3.26,0.6,11.9,red,9.0
8.69,0.442,0.16,2.27,0.0766,13.0,50.0,0.99571,3.47,0.7,14.4,red,9.0
6.5,0.609,0.56,1.62,0.1186,10.7,23.3,0.99437,3.2,0.43,11.3,red,9.0
9.99,0.254,0.16,0.93,0.1613,17.5,41.6,0.9989,3.27,0.84,12.8,red,9.0
10.32,0.492,0.42,0.01,0.0423,27.5,9.0,1.00367,3.49,0.31,11.5,white,8.6
6.57,0.706,0.32,3.61,0.1227,6.1,96.1,0.99376,3.44,0.66,9.3,white,7.8
7.79,0.306,0.24,0.81,0.0826,20.7,58.4,0.99904,3.33,0.79,10.2,red,9.0
9.99,0.561,0.12,1.0,0.1531,16.8,23.8,0.99666,3.15,0.67,8.8,red,8.8
8.3,0.416,0.33,4.64,0.0498,2.8,40.6,0.99763,3.4,0.58,11.3,red,8.4
5.93,0.457,0.19,0.13,0.0971,9.0,99.3,0.99688,3.27,0.85,12.6,red,9.0
8.06,0.828,0.14,6.56,0.1168,16.0,15.3,1.00139,3.23,0.54,10.0,red,8.7
6.85,0.233,0.55,0.0,0.0548,38.6,9.9,0.9954,3.51,0.95,11.6,white,8.5
10.18,0.668,0.37,7.0,0.0772,8.3,8.5,0.9958,3.53,0.62,11.4,red,8.5
9.33,0.444,0.39,1.52,0.0804,9.5,24.1,0.99715,3.18,0.62,11.9,white,8.7
7.77,0.435,0.2,0.27,0.1384,20.2,95.7,0.99813,3.57,0.78,9.6,red,8.5
8.54,0.33,0.23,2.8,0.1912,14.7,28.1,0.99967,3.3,0.61,11.9,red,7.4
6.08,0.666,0.22,5.65,0.1611,2.7,32.8,0.99798,3.43,0.68,10.8,red,7.9
7.02,0.496,0.33,1.44,0.1546,2.3,53.1,0.99745,3.58,0.76,10.3,red,6.9
10.94,0.473,0.39,2.94,0.1097,3.6,45.5,0.99612,3.29,0.45,12.2,red,8.1
8.39,0.55,0.26,9.7,0.0932,24.8,78.4,0.99802,3.35,0.76,9.4,red,8.4
9.88,0.499,0.12,0.69,0.09,5.1,73.5,0.99557,3.42,0.37,14.3,red,9.0
8.69,0.17,0.41,4.29,0.1246,40.8,57.3,0.9974,3.55,0.66,14.5,red,9.0
10.53,0.442,0.28,0.87,0.0193,10.4,38.9,0.99656,3.31,0.6,12.7,red,7.6
4.9,0.691,0.0,1.39,0.1211,24.0,78.1,0.99503,3.43,0.44,10.4,red,7.7
7.98,0.259,0.14,0.83,0.011,3.7,20.6,1.00012,3.19,0.95,12.5,white,8.7
11.1,0.334,0.33,1.48,0.1353,17.9,18.5,0.99504,3.09,0.69,12.3,white,9.0
9.93,0.453,0.11,0.01,0.0095,30.7,33.1,0.99621,3.21,0.55,10.9,white,8.7
10.55,0.399,0.35,0.9,0.1446,12.2,84.7,0.99383,3.21,0.68,10.3,red,7.4
8.29,0.525,0.12,1.47,0.1422,4.5,19.0,0.99666,3.46,1.08,9.5,red,8.3
7.39,0.333,0.3,2.5,0.0713,12.0,26.7,0.99787,3.3,0.49,9.8,red,6.7
6.55,0.46,0.2,2.54,0.1076,13.6,52.2,0.99519,3.22,0.77,12.6,red,9.0
6.44,0.521,0.6,2.19,0.0868,5.6,44.6,0.99336,3.18,0.5,14.2,white,9.0
9.67,0.647,0.45,0.87,0.0175,33.3,34.0,0.99625,3.25,0.74,10.9,white,7.4
9.17,0.754,0.53,7.36,0.1134,16.1,61.9,0.99669,3.45,0.55,9.2,white,6.6
8.19,0.483,0.27,1.24,0.1428,29.3,30.9,0.99653,3.18,0.63,8.5,red,9.0
9.16,0.87,0.43,0.61,0.0718,27.2,81.2,1.00017,3.29,0.69,11.0,red,8.6
8.54,0.497,0.29,2.02,0.117,33.8,54.3,0.99767,3.25,0.88,9.9,white,8.0
9.94,0.679,0.55,3.46,0.0458,2.7,79.9,0.99751,3.36,0.41,10.5,white,7.9
9.92,0.878,0.26,0.03,0.1302,22.7,20.5,0.99766,3.59,0.95,10.0,red,7.3
6.49,0.555,0.0,0.81,0.0875,10.6,41.6,0.99765,3.21,0.33,12.7,red,9.0
8.77,0.283,0.11,4.36,0.0863,14.4,15.9,0.99611,3.36,0.72,12.6,red,9.0
5.46,0.546,0.59,1.77,0.1091,4.6,90.5,0.99513,3.31,0.67,14.3,red,9.0
8.53,0.42,0.36,1.31,0.1589,40.3,122.0,1.00194,3.24,0.64,12.9,red,9.0
9.33,0.481,0.37,6.68,0.1117,8.2,37.0,0.99671,3.32,0.67,9.5,red,9.0
6.07,0.887,0.55,0.23,0.0361,22.8,58.8,0.99704,3.58,0.75,13.3,red,9.0
7.59,0.31,0.04,2.39,0.0532,2.4,50.2,0.99709,3.3,0.74,9.6,red,8.4
8.32,0.584,0.2,1.05,0.0836,13.2,4.0,0.99549,3.3,0.63,12.0,white,7.8
8.7,0.372,0.23,0.18,0.1103,27.0,87.5,0.99736,3.25,0.78,8.9,red,8.1
7.83,0.475,0.41,0.6,0.0324,19.5,37.5,0.99444,3.37,0.62,8.7,red,8.0
6.31,0.664,0.14,2.47,0.1034,6.0,20.9,0.99843,3.16,0.68,11.4,red,9.0
8.21,0.587,0.04,0.07,0.1288,8.4,22.9,0.99649,3.33,0.86,9.1,red,7.8
5.49,0.489,0.04,2.24,0.0635,17.6,0.6,0.99926,3.38,0.86,10.4,red,7.8
7.9,0.413,0.49,7.86,0.1796,15.7,50.5,0.99803,3.18,0.84,10.6,red,9.0
7.55,0.587,0.13,3.96,0.0521,2.1,50.3,0.99779,3.55,0.49,13.4,red,9.0
8.07,0.837,0.17,1.06,0.0965,11.9,85.5,0.99541,3.54,0.73,10.6,red,9.0
7.35,0.368,0.39,0.37,0.0112,14.4,106.7,0.99714,3.65,0.74,11.6,red,9.0
5.74,0.874,0.14,1.56,0.0721,21.9,109.4,0.99851,3.4,0.96,13.4,red,8.9
7.68,0.746,0.05,1.25,0.08,26.5,12.8,0.99723,3.37,0.79,9.7,white,7.5
9.88,0.776,0.03,8.92,0.0669,22.9,66.9,0.99428,3.3,0.55,13.6,red,9.0
10.44,0.586,0.26,11.48,0.0524,19.5,72.7,0.99897,3.32,0.6,13.8,red,9.0
12.45,0.741,0.36,1.32,0.0627,19.7,29.3,0.99851,3.45,0.23,14.8,white,9.0
11.18,0.348,0.23,0.4,0.1168,20.9,55.9,0.994,3.31,0.65,11.3,red,8.5
6.27,0.41,0.35,6.04,0.0032,25.9,59.6,0.99725,3.29,0.6,10.8,red,8.3
7.61,0.668,0.04,3.94,0.0004,33.7,30.5,0.99863,3.39,0.57,13.0,red,9.0
8.26,0.583,0.02,1.79,0.0639,5.7,88.7,0.9958,3.22,0.53,8.8,red,7.8
8.15,0.503,0.7,1.14,0.0813,11.2,54.2,0.99435,3.55,0.92,8.7,red,8.3
8.42,0.08,0.5,1.49,0.0502,26.5,40.9,0.99485,3.31,0.2,10.6,red,9.0
12.39,0.452,0.42,5.8,0.09,5.5,6.2,0.99678,3.42,0.44,13.1,red,9.0
6.46,0.319,0.14,0.51,0.1161,2.3,84.4,0.99886,3.19,1.07,9.2,red,8.6
7.09,0.619,0.22,4.11,0.133,9.2,49.0,0.99483,3.3,0.83,12.5,red,9.0
11.09,0.496,0.27,0.05,0.1492,16.7,49.1,0.99484,3.25,0.71,10.2,white,9.0
7.25,0.417,0.52,6.33,0.0248,10.9,18.7,0.99639,3.26,0.66,12.6,red,9.0
8.97,1.006,0.35,1.73,0.0507,19.8,75.9,0.99838,3.14,0.56,11.4,red,9.0
10.06,0.717,0.37,0.64,0.0458,12.9,9.2,1.00051,3.47,0.44,9.1,red,8.3
9.13,0.72,0.24,0.01,0.1345,12.3,26.1,0.99718,3.38,0.72,10.0,red,8.4
8.63,0.926,0.42,2.05,0.0573,1.6,23.2,0.99565,3.1,0.8,9.8,red,7.6
9.9,0.674,0.33,0.7,0.1014,22.2,57.9,0.99541,3.28,0.54,9.5,red,6.7
6.78,0.391,0.28,2.49,0.0205,22.3,57.6,0.99974,3.28,0.35,11.4,red,9.0
7.46,0.37,0.13,0.83,0.0567,13.9,51.1,0.99447,3.37,0.77,14.6,white,9.0
9.21,0.704,0.25,0.23,0.0448,17.5,40.8,0.99739,3.29,0.79,12.7,red,9.0
4.78,0.159,0.06,1.76,0.1191,17.4,51.7,0.99964,3.47,0.8,13.8,red,9.0
10.71,0.516,0.26,2.08,0.0284,26.9,140.6,0.99668,3.45,0.63,14.8,red,9.0
8.82,0.139,0.29,1.51,0.1709,18.2,54.7,0.99484,3.64,0.29,11.9,red,8.6
8.56,0.548,0.19,1.53,0.0971,1.9,32.6,0.99806,2.98,0.45,9.9,red,8.1
5.53,0.684,0.23,2.23,0.0528,35.9,43.1,0.99721,3.52,0.88,14.4,red,8.5
6.11,0.58,0.05,1.87,0.103,29.4,39.7,0.99794,3.43,0.43,12.9,red,8.5
7.62,0.699,0.36,0.36,0.0488,16.4,48.8,0.99816,3.28,0.78,14.6,red,9.0
9.67,0.884,0.39,0.55,0.0371,17.5,16.5,0.99804,3.27,0.49,12.6,red,8.9
4.77,0.504,0.19,0.38,0.1198,18.9,72.8,0.99759,3.3,0.47,13.4,red,9.0
9.64,1.035,0.37,2.95,0.1513,7.8,56.3,0.99835,3.35,0.97,14.2,red,9.0
7.69,0.568,0.38,1.88,0.1049,27.6,20.5,0.9997,3.23,0.98,13.3,red,9.0
7.92,0.701,0.23,1.4,0.0292,26.5,80.1,0.99543,3.07,0.69,12.1,red,8.5
8.73,0.42,0.56,4.0,0.0486,15.0,16.1,0.99647,3.23,0.58,11.5,red,9.0
8.76,0.821,0.13,0.99,0.1589,23.0,117.3,0.99859,3.27,0.84,13.8,red,9.0
7.09,0.718,0.55,2.1,0.1243,26.9,108.5,0.99685,3.4,0.39,13.4,white,8.1
9.36,0.795,0.23,0.19,0.034,18.3,103.3,0.99447,3.13,0.87,10.8,red,7.5
4.36,0.54,0.11,3.41,0.0535,5.1,30.2,0.99767,3.41,1.0,11.6,red,9.0
7.53,0.304,0.2,2.97,0.0958,23.1,54.4,0.99602,3.13,0.76,12.5,red,9.0
8.56,0.613,0.06,4.05,0.0802,16.5,26.0,1.00124,3.37,0.46,8.6,red,8.3
7.71,0.225,0.42,5.4,0.1852,4.4,60.7,0.99899,3.39,0.92,10.0,red,9.0
5.19,0.469,0.03,3.55,0.0526,26.8,47.1,0.99932,3.29,0.71,10.0,red,8.9
9.59,0.564,0.53,4.65,0.1152,18.4,31.4,0.99708,3.32,0.64,14.1,red,9.0
6.18,0.958,0.09,1.06,0.101,13.5,31.0,0.99762,3.41,0.5,10.6,white,9.0
8.19,0.587,0.43,1.05,0.009,37.7,49.2,0.99632,3.22,0.47,11.9,white,9.0
8.56,0.555,0.27,7.22,0.0255,10.2,143.1,0.99532,3.36,0.86,13.8,white,9.0
8.33,0.519,0.32,6.15,0.0689,6.0,89.5,0.99518,3.26,0.65,10.1,red,9.0
10.29,0.288,0.16,1.99,0.1067,17.5,49.3,1.00127,3.54,0.65,9.2,white,8.3
8.21,0.545,0.34,1.14,0.1617,14.3,40.5,0.99779,3.39,0.68,14.6,red,8.8
9.03,0.549,0.3,5.02,0.0502,10.0,67.0,0.99435,3.15,0.33,13.0,red,9.0
8.2,0.356,0.01,0.98,0.1093,30.7,26.3,0.99892,3.58,0.66,9.6,red,7.8
9.34,0.316,0.09,0.42,0.0734,4.1,39.0,1.00225,3.46,0.66,13.7,white,9.0
10.67,0.443,0.17,2.55,0.1682,19.2,17.7,0.99393,3.13,0.91,13.5,red,8.7
8.53,0.542,0.13,0.11,0.0851,16.8,49.5,0.9982,3.08,0.8,13.8,red,7.6
9.63,0.448,0.51,1.19,0.0663,15.8,50.3,0.99475,3.13,0.45,10.2,red,7.3
10.77,0.341,0.27,4.12,0.095,28.0,28.6,0.99931,3.16,0.59,11.3,red,9.0
10.61,0.582,0.12,0.87,0.0961,37.5,61.4,0.99272,3.33,0.84,12.9,red,9.0
7.65,0.627,0.18,6.7,0.1526,15.9,50.6,0.99716,3.32,0.44,10.9,red,7.9
10.06,0.552,0.17,7.8,0.0872,25.2,29.0,0.99789,3.42,0.95,8.9,red,7.7
8.72,0.429,0.22,4.23,0.1072,16.3,73.6,0.99423,3.26,0.65,9.3,red,8.2
10.2,0.637,0.07,10.98,0.0093,16.7,40.6,0.99789,3.27,0.75,12.3,red,9.0
9.27,0.496,0.12,1.89,0.0327,20.6,12.0,0.99607,3.33,0.58,10.8,red,8.6
8.77,0.316,0.42,2.11,0.0693,17.7,11.4,1.00045,3.48,0.58,8.4,red,9.0
9.04,0.717,0.31,4.52,0.0919,6.3,93.7,0.99415,3.03,0.5,13.4,red,8.8
8.73,0.594,0.24,1.7,0.0512,29.9,50.6,0.99882,3.27,0.92,11.1,white,8.5
8.8,0.509,0.27,1.31,0.1003,20.6,49.2,0.9968,3.51,0.76,10.4,white,8.6
8.03,0.247,0.26,2.38,0.0624,15.4,45.1,0.99959,3.32,0.5,13.0,white,9.0
7.87,0.396,0.23,2.68,0.1668,9.3,86.6,0.99963,3.27,0.78,11.4,red,9.0
11.3,0.893,0.37,3.47,0.0773,19.0,51.2,0.9965,3.19,0.82,12.9,red,9.0
9.11,0.258,0.35,2.76,0.1072,13.3,97.4,0.99691,3.45,0.84,8.5,red,8.6
7.33,0.485,0.03,3.42,0.0767,17.8,51.3,0.99882,3.24,0.71,8.5,red,7.6
7.83,0.527,0.25,2.81,0.0826,13.9,41.5,0.99804,3.24,0.69,12.0,red,9.0
10.1,0.588,0.02,1.64,0.1127,7.2,88.2,0.99677,3.51,0.5,14.8,red,9.0
7.05,0.261,0.39,0.36,0.0935,32.8,56.9,0.99533,3.15,0.89,10.2,white,9.0
5.78,0.561,0.42,3.85,0.0625,6.0,29.8,0.99773,3.55,0.77,12.8,white,9.0
5.91,0.227,0.15,0.08,0.1027,7.7,38.1,0.99478,3.34,0.83,9.5,red,9.0
5.36,0.548,0.25,12.23,0.0796,23.0,36.4,0.9983,3.31,0.34,10.4,red,6.7
6.09,0.413,0.13,4.41,0.1144,19.2,5.7,0.99922,3.35,0.82,8.9,red,7.6
6.29,0.374,0.45,2.78,0.1409,22.8,75.4,0.99535,3.31,0.66,14.1,red,9.0
10.65,0.68,0.4,8.5,0.1336,21.2,31.8,0.99617,3.23,0.8,10.4,white,7.6
8.22,0.488,0.49,2.37,0.0371,8.0,17.9,0.99574,3.36,0.46,9.9,red,7.6
7.68,0.615,0.55,0.15,0.0553,22.9,187.9,0.99911,3.24,0.97,13.1,red,9.0
5.85,0.621,0.04,2.05,0.1931,9.1,8.6,0.99711,3.37,0.55,9.7,red,9.0
8.06,0.759,0.44,0.81,0.1117,27.0,43.6,0.99627,3.66,0.86,10.0,red,8.8
5.35,0.313,0.55,1.15,0.1047,5.4,29.2,0.9983,3.41,0.63,9.1,red,8.1
7.67,0.695,0.01,1.54,0.0535,7.6,87.8,0.99604,3.28,0.97,14.7,red,9.0
11.81,0.533,0.24,3.72,0.0094,7.9,37.2,0.99659,3.35,0.71,10.0,red,7.9
9.43,0.462,0.2,1.75,0.0071,19.2,73.4,0.99477,3.26,0.98,14.9,red,9.0
7.94,0.323,0.43,1.61,0.0711,15.4,15.5,0.99868,3.28,0.65,9.5,red,7.8
9.49,0.639,0.18,0.9,0.0942,17.1,6.7,0.99482,3.29,0.47,8.5,red,9.0
7.41,0.364,0.62,1.94,0.1662,14.7,22.0,0.99987,3.38,0.71,14.2,white,9.0
6.94,0.623,0.25,0.71,0.0984,15.3,90.8,0.99748,3.45,0.64,12.2,red,8.6
11.2,0.877,0.44,0.76,0.1185,10.8,65.5,0.99669,3.63,0.56,10.7,red,7.7
6.36,0.706,0.26,3.54,0.062,0.0,6.7,0.99697,3.41,0.87,11.7,red,9.0
7.7,0.78,0.36,1.05,0.0655,1.3,33.1,1.00042,3.15,0.43,10.1,red,7.5
8.82,0.401,0.17,0.13,0.0178,7.5,35.9,0.99431,3.12,0.98,12.5,red,9.0
6.71,0.667,0.2,1.05,0.0293,12.5,82.4,0.99446,3.3,0.63,12.4,red,8.0
9.41,0.324,0.43,2.54,0.0288,31.3,21.5,0.99892,3.46,0.43,8.9,white,8.3
7.78,0.488,0.32,4.2,0.0699,5.2,81.9,0.99516,3.28,0.73,14.3,white,9.0
9.43,0.843,0.04,8.17,0.0088,4.4,50.7,0.99552,3.28,0.69,11.4,red,8.8
9.3,0.421,0.28,3.43,0.0489,3.2,104.2,0.99611,3.44,0.63,9.7,red,9.0
7.89,0.73,0.11,1.4,0.0852,21.2,24.2,0.99925,3.31,0.55,10.4,red,7.7
11.21,0.713,0.1,0.89,0.0259,13.7,44.5,0.99862,3.47,0.88,14.0,red,8.7
7.17,0.723,0.02,0.35,0.1567,2.3,24.9,0.99672,3.08,0.75,10.9,red,8.3
10.59,0.302,0.39,2.47,0.1707,15.6,78.9,0.9978,3.38,0.58,12.1,red,9.0
10.3,0.625,0.48,1.78,0.1355,9.8,65.9,0.99775,3.04,0.73,14.6,red,9.0
11.31,0.502,0.67,2.83,0.1054,29.5,9.4,0.99499,3.35,0.53,12.6,red,9.0
8.6,0.726,0.01,0.68,0.1023,8.9,69.3,0.99513,3.45,0.83,12.8,white,9.0
6.96,0.232,0.42,0.98,0.112,33.7,2.5,0.99293,3.07,1.02,10.0,red,9.0
11.83,0.596,0.43,0.86,0.091,17.7,16.5,0.99998,2.97,0.85,12.7,white,9.0
7.73,0.571,0.16,3.99,0.0956,11.8,71.0,0.99566,3.44,0.55,11.0,red,7.7
6.92,0.172,0.1,0.47,0.0089,13.2,5.2,0.99703,3.38,0.5,14.3,red,9.0
7.98,0.371,0.06,2.34,0.0925,19.0,34.3,0.99808,3.15,0.68,9.2,red,7.3
6.63,0.201,0.17,0.13,0.1104,13.1,71.5,0.99506,3.35,0.39,10.3,red,7.8
9.19,0.399,0.31,1.99,0.1029,6.2,60.2,0.9953,3.23,0.82,8.8,white,9.0
7.27,0.629,0.53,0.17,0.141,22.5,58.2,0.99516,3.28,0.77,10.9,red,7.9
7.81,0.565,0.48,0.48,0.1561,26.3,72.6,0.99121,3.27,0.63,9.4,red,9.0
9.95,0.56,0.04,0.3,0.0623,26.7,89.5,0.99687,3.11,0.61,13.9,red,8.6
9.36,0.343,0.12,1.06,0.0337,14.2,5.7,1.00167,3.45,0.64,14.4,red,9.0
8.33,0.732,0.52,1.05,0.146,27.4,57.5,0.99594,3.15,0.93,12.8,red,8.3
8.59,0.527,0.13,4.38,0.1183,19.2,78.2,0.996,3.32,0.59,9.1,red,8.6
8.32,0.536,0.26,0.64,0.0601,12.8,71.8,0.99626,3.41,0.46,10.6,red,8.6
7.57,0.699,0.05,0.23,0.0765,10.0,41.3,0.99762,3.19,0.53,14.7,red,9.0
8.3,0.352,0.49,2.31,0.0727,25.6,39.4,0.99876,3.27,0.83,9.3,red,9.0
9.13,0.571,0.09,2.91,0.0997,1.8,73.6,0.99533,3.23,0.5,12.0,red,8.9
8.09,0.606,0.04,0.87,0.1545,30.5,53.5,0.99793,3.57,0.86,10.7,red,8.8
9.01,0.432,0.47,2.31,0.0449,17.2,82.5,0.99683,3.45,0.63,14.9,red,8.9
6.88,0.647,0.63,3.74,0.1008,9.6,50.1,0.9976,3.42,0.36,10.3,red,8.4
7.27,0.616,0.21,1.07,0.099,8.4,34.2,0.9979,3.64,0.79,8.7,white,7.9
7.05,0.512,0.26,1.86,0.0064,11.2,11.5,0.99505,3.36,0.61,13.0,red,9.0
7.34,0.506,0.44,0.4,0.2047,23.3,38.9,0.99595,3.26,0.72,10.5,red,9.0
10.49,0.624,0.32,0.06,0.0968,19.2,6.0,0.99792,3.09,0.55,12.7,red,8.5
9.53,0.672,0.2,9.96,0.1414,11.1,13.7,0.99672,3.21,0.87,9.1,red,7.5
6.47,0.541,0.18,0.89,0.011,10.2,18.0,0.99858,3.33,0.74,11.8,red,9.0
9.04,0.732,0.03,0.82,0.1776,19.2,69.6,0.99656,3.45,1.03,10.8,red,8.5
7.64,0.649,0.31,9.05,0.0704,44.7,38.5,0.99902,3.21,0.78,11.9,red,7.7
7.14,0.208,0.25,3.26,0.0213,44.6,52.4,0.99307,3.55,0.62,13.9,red,9.0
5.77,0.277,0.19,2.2,0.0202,26.9,68.7,0.99765,3.08,0.51,14.7,red,9.0
9.95,0.743,0.08,3.0,0.0293,7.8,45.3,0.99442,3.25,0.42,13.3,red,9.0
5.98,0.486,0.1,3.09,0.0507,23.8,23.9,0.99924,3.37,0.64,13.4,red,9.0
8.21,0.56,0.39,3.6,0.0264,8.1,31.8,0.9967,3.33,0.64,11.8,red,9.0
6.69,0.735,0.44,0.17,0.1251,13.5,71.9,0.99632,3.38,0.93,9.0,white,8.0
9.62,0.529,0.21,1.33,0.0954,30.2,45.6,0.99535,3.33,0.59,12.7,red,9.0
7.73,0.537,0.19,0.87,0.111,13.3,37.2,0.99833,3.41,0.83,9.4,red,8.3
8.07,0.374,0.11,0.18,0.1072,12.9,34.9,0.99814,3.27,0.64,10.0,white,8.6
8.13,0.597,0.45,1.33,0.0755,10.6,64.0,0.99644,3.26,0.98,13.0,red,9.0
8.81,0.636,0.28,2.39,0.0137,7.3,52.5,0.99833,3.19,0.39,12.7,white,8.3
